Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	      0.05507127	      -0.1137604
4.8828125000000e-004	      0.05756483	       -0.103488
9.7656250000000e-004	      0.05815426	       -0.109907
1.4648437500000e-003	      0.05813164	      -0.1060055
1.9531250000000e-003	      0.05649463	      -0.1166925
2.4414062500000e-003	      0.05005453	      -0.1060663
2.9296875000000e-003	      0.03985181	     -0.09554609
3.4179687500000e-003	      0.02811151	      -0.1076553
3.9062500000000e-003	      0.01673466	      -0.1066288
4.3945312500000e-003	      0.01002584	     -0.08393722
4.8828125000000e-003	     0.004431443	      -0.1031364
5.3710937500000e-003	     0.000831811	     -0.08979636
5.8593750000000e-003	    0.0001543543	      -0.1066519
6.3476562500000e-003	    0.0007479816	       -0.081194
6.8359375000000e-003	     0.003460537	     -0.06759757
7.3242187500000e-003	     0.005620519	     -0.06817384
7.8125000000000e-003	      0.00647953	     -0.06996039
8.3007812500000e-003	     0.008002271	     -0.07972801
8.7890625000000e-003	      0.00793531	     -0.03014348
9.2773437500000e-003	     0.009290071	      -0.0399167
9.7656250000000e-003	      0.01377481	     -0.03810959
1.0253906250000e-002	      0.01521138	     -0.01474723
1.0742187500000e-002	      0.01678246	     -0.02129555
1.1230468750000e-002	      0.01934425	    -0.001276683
1.1718750000000e-002	      0.02228805	     0.003120866
1.2207031250000e-002	      0.02470285	     0.002425202
1.2695312500000e-002	      0.02673164	       0.0200383
1.3183593750000e-002	      0.02917689	      0.02178518
1.3671875000000e-002	      0.03035489	      0.04856881
1.4160156250000e-002	      0.03174058	      0.06332127
1.4648437500000e-002	      0.03332791	      0.05438314
1.5136718750000e-002	      0.03411687	      0.07010825
1.5625000000000e-002	      0.03537634	      0.09172557
1.6113281250000e-002	      0.03599846	       0.1055538
1.6601562500000e-002	      0.03472509	        0.123634
1.7089843750000e-002	       0.0320754	       0.1244499
1.7578125000000e-002	      0.03277395	       0.1355557
1.8066406250000e-002	      0.03313957	       0.1391183
1.8554687500000e-002	      0.03269581	       0.1629712
1.9042968750000e-002	      0.03435137	       0.1803113
1.9531250000000e-002	      0.03305041	       0.1981085
2.0019531250000e-002	      0.03056093	       0.1817061
2.0507812500000e-002	      0.02897526	       0.2066443
2.0996093750000e-002	      0.02618299	       0.2436185
2.1484375000000e-002	      0.02406825	       0.2235517
2.1972656250000e-002	      0.02209584	       0.2333965
2.2460937500000e-002	      0.01978341	        0.249866
2.2949218750000e-002	      0.01814511	       0.2541166
2.3437500000000e-002	      0.01528969	       0.2790204
2.3925781250000e-002	      0.01221721	       0.2924003
2.4414062500000e-002	      0.01020358	       0.2980505
2.4902343750000e-002	     0.007707075	       0.3196178
2.5390625000000e-002	     0.004583143	        0.329177
2.5878906250000e-002	     0.002747021	       0.3287186
2.6367187500000e-002	   -0.0006121904	        0.355811
2.6855468750000e-002	    -0.003929232	       0.3592125
2.7343750000000e-002	    -0.005742128	       0.3513051
2.7832031250000e-002	     -0.01086508	       0.3721534
2.8320312500000e-002	     -0.01404593	       0.3682243
2.8808593750000e-002	     -0.01979432	       0.3700947
2.9296875000000e-002	     -0.02358789	       0.4141858
2.9785156250000e-002	     -0.02419059	        0.416489
3.0273437500000e-002	     -0.02861255	       0.4002424
3.0761718750000e-002	     -0.03189427	       0.4304645
3.1250000000000e-002	     -0.03504138	         0.40908
3.1738281250000e-002	     -0.03830886	       0.4367947
3.2226562500000e-002	     -0.04179407	       0.4427978
3.2714843750000e-002	     -0.04400657	        0.452886
3.3203125000000e-002	      -0.0465149	       0.4475457
3.3691406250000e-002	     -0.04919841	       0.4248512
3.4179687500000e-002	     -0.05101689	       0.4497632
3.4667968750000e-002	     -0.05461025	       0.4240166
3.5156250000000e-002	     -0.05711274	       0.4509047
3.5644531250000e-002	      -0.0565713	       0.4532488
3.6132812500000e-002	     -0.05546258	       0.4569177
3.6621093750000e-002	     -0.05171893	       0.4653461
3.7109375000000e-002	     -0.04055444	       0.4449517
3.7597656250000e-002	     -0.02396749	       0.4418458
3.8085937500000e-002	     -0.00873431	       0.4429589
3.8574218750000e-002	     0.004204837	       0.4304278
3.9062500000000e-002	      0.01389247	       0.4310153
3.9550781250000e-002	      0.01692169	       0.4222946
4.0039062500000e-002	      0.01910471	       0.3989482
4.0527343750000e-002	      0.01850423	       0.4078778
4.1015625000000e-002	      0.01631616	       0.4143542
