Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       -0.102568	       0.1148578
4.8828125000000e-004	      -0.1079944	       0.1190049
9.7656250000000e-004	      -0.1140559	        0.112544
1.4648437500000e-003	      -0.1197637	       0.1057714
1.9531250000000e-003	      -0.1240266	       0.1120768
2.4414062500000e-003	      -0.1296707	       0.1011021
2.9296875000000e-003	      -0.1336509	       0.1091889
3.4179687500000e-003	      -0.1375016	       0.1231234
3.9062500000000e-003	      -0.1423435	      0.08959045
4.3945312500000e-003	      -0.1453042	      0.08980692
4.8828125000000e-003	      -0.1484872	      0.09570881
5.3710937500000e-003	      -0.1516643	      0.09844418
5.8593750000000e-003	      -0.1541239	       0.1062262
6.3476562500000e-003	      -0.1565666	      0.09201837
6.8359375000000e-003	      -0.1582996	      0.09329853
7.3242187500000e-003	       -0.158641	       0.1132941
7.8125000000000e-003	      -0.1602617	      0.08837312
8.3007812500000e-003	      -0.1626112	      0.09512995
8.7890625000000e-003	      -0.1640678	      0.09263724
9.2773437500000e-003	       -0.166778	      0.08797488
9.7656250000000e-003	      -0.1655611	       0.0843986
1.0253906250000e-002	      -0.1638322	      0.06831674
1.0742187500000e-002	      -0.1631864	      0.06996689
1.1230468750000e-002	      -0.1623489	      0.09556954
1.1718750000000e-002	      -0.1624313	      0.07427918
1.2207031250000e-002	      -0.1620068	      0.08473591
1.2695312500000e-002	      -0.1615916	      0.08540824
1.3183593750000e-002	      -0.1633272	      0.07180972
1.3671875000000e-002	      -0.1640474	      0.07991183
1.4160156250000e-002	      -0.1666524	       0.0810225
1.4648437500000e-002	      -0.1715918	      0.09117852
1.5136718750000e-002	      -0.1763134	       0.0646504
1.5625000000000e-002	      -0.1807258	      0.08592454
1.6113281250000e-002	      -0.1829302	      0.07724071
1.6601562500000e-002	       -0.183717	      0.06422984
1.7089843750000e-002	      -0.1878464	      0.08404164
1.7578125000000e-002	      -0.1880934	      0.08703704
1.8066406250000e-002	      -0.1850462	       0.1018137
1.8554687500000e-002	      -0.1824408	      0.08900634
1.9042968750000e-002	      -0.1752818	      0.07064266
1.9531250000000e-002	      -0.1691892	         0.10426
2.0019531250000e-002	      -0.1667162	        0.116975
2.0507812500000e-002	      -0.1614759	       0.1013001
2.0996093750000e-002	      -0.1566214	       0.0991192
2.1484375000000e-002	      -0.1493844	       0.1024227
2.1972656250000e-002	      -0.1415892	       0.1193234
2.2460937500000e-002	      -0.1347733	       0.1289984
2.2949218750000e-002	      -0.1265043	       0.1228907
2.3437500000000e-002	      -0.1192415	      0.09938891
2.3925781250000e-002	      -0.1123978	       0.1332136
2.4414062500000e-002	      -0.1047884	       0.1421996
2.4902343750000e-002	     -0.09598041	       0.1126244
2.5390625000000e-002	     -0.08808948	       0.1252063
2.5878906250000e-002	     -0.07996872	       0.1403081
2.6367187500000e-002	      -0.0720621	       0.1374779
2.6855468750000e-002	     -0.06263001	        0.128097
2.7343750000000e-002	     -0.05309448	        0.129066
2.7832031250000e-002	     -0.04693042	         0.14421
2.8320312500000e-002	     -0.03801881	       0.1334905
2.8808593750000e-002	     -0.03071995	       0.1498533
2.9296875000000e-002	     -0.02331298	        0.156858
2.9785156250000e-002	     -0.01263051	       0.1680247
3.0273437500000e-002	    -0.003786294	       0.1603662
3.0761718750000e-002	     0.004539996	       0.1830253
3.1250000000000e-002	      0.01248135	       0.1632667
3.1738281250000e-002	       0.0204106	       0.1677887
3.2226562500000e-002	      0.02797199	       0.1752017
3.2714843750000e-002	      0.03614376	       0.1586382
3.3203125000000e-002	      0.04274891	       0.1887512
3.3691406250000e-002	      0.05021609	       0.1850073
3.4179687500000e-002	      0.05881536	       0.1766265
3.4667968750000e-002	      0.06661877	        0.176106
3.5156250000000e-002	      0.07346627	       0.1916312
3.5644531250000e-002	      0.08051323	       0.2085885
3.6132812500000e-002	      0.08705588	       0.2029505
3.6621093750000e-002	      0.09334368	       0.2061221
3.7109375000000e-002	      0.09752308	       0.2068673
3.7597656250000e-002	       0.1005963	       0.2186576
3.8085937500000e-002	       0.1072514	       0.2138626
3.8574218750000e-002	       0.1136636	       0.2085899
3.9062500000000e-002	       0.1218543	       0.2268583
3.9550781250000e-002	       0.1269121	       0.2313851
4.0039062500000e-002	       0.1296268	       0.2257175
4.0527343750000e-002	       0.1339843	         0.21459
4.1015625000000e-002	       0.1381584	       0.2297093
