Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       0.3532594	      -0.3144212
4.8828125000000e-004	       0.3612652	      -0.3120108
9.7656250000000e-004	       0.3700351	      -0.3468503
1.4648437500000e-003	       0.3788276	      -0.3330074
1.9531250000000e-003	       0.3832446	      -0.3505061
2.4414062500000e-003	       0.3880639	      -0.3611172
2.9296875000000e-003	       0.3913528	       -0.348204
3.4179687500000e-003	       0.3931782	      -0.3411218
3.9062500000000e-003	       0.3953313	      -0.3493944
4.3945312500000e-003	       0.3918827	      -0.3397982
4.8828125000000e-003	       0.3773723	      -0.3390156
5.3710937500000e-003	        0.358504	      -0.3309247
5.8593750000000e-003	       0.3427475	      -0.3364523
6.3476562500000e-003	       0.3325577	      -0.3410027
6.8359375000000e-003	       0.3272189	      -0.3277843
7.3242187500000e-003	       0.3225171	      -0.3130899
7.8125000000000e-003	       0.3186961	       -0.290278
8.3007812500000e-003	       0.3142994	      -0.2888791
8.7890625000000e-003	       0.3098558	      -0.2908087
9.2773437500000e-003	       0.3047894	      -0.2746236
9.7656250000000e-003	       0.2988073	      -0.2600771
1.0253906250000e-002	       0.2924421	      -0.2540434
1.0742187500000e-002	       0.2857783	      -0.2396466
1.1230468750000e-002	       0.2787027	      -0.2146801
1.1718750000000e-002	       0.2709508	      -0.2228636
1.2207031250000e-002	        0.264921	       -0.195613
1.2695312500000e-002	       0.2573805	      -0.1687816
1.3183593750000e-002	       0.2514391	      -0.1767829
1.3671875000000e-002	       0.2429544	      -0.1298707
1.4160156250000e-002	       0.2302295	       -0.097706
1.4648437500000e-002	       0.2176527	      -0.1105132
1.5136718750000e-002	       0.2049124	     -0.08267888
1.5625000000000e-002	       0.1916428	     -0.07701372
1.6113281250000e-002	       0.1778081	     -0.04889096
1.6601562500000e-002	       0.1636967	     -0.02196789
1.7089843750000e-002	       0.1484407	    -0.002145735
1.7578125000000e-002	       0.1340917	      0.02691842
1.8066406250000e-002	       0.1190405	      0.03907307
1.8554687500000e-002	       0.1028053	      0.06356842
1.9042968750000e-002	      0.08753818	      0.07375237
1.9531250000000e-002	      0.07100953	       0.1211005
2.0019531250000e-002	       0.0531216	       0.1450783
2.0507812500000e-002	      0.03611872	       0.1483374
2.0996093750000e-002	      0.01834692	       0.1956539
2.1484375000000e-002	     0.002870044	       0.2057007
2.1972656250000e-002	     -0.01395564	       0.2505829
2.2460937500000e-002	     -0.03288468	       0.2730543
2.2949218750000e-002	     -0.05117782	       0.2697248
2.3437500000000e-002	     -0.06938762	       0.3111102
2.3925781250000e-002	     -0.08397497	       0.3261059
2.4414062500000e-002	      -0.1006091	       0.3585637
2.4902343750000e-002	      -0.1176053	        0.388218
2.5390625000000e-002	      -0.1346157	       0.4006226
2.5878906250000e-002	      -0.1507141	       0.4201956
2.6367187500000e-002	      -0.1668296	       0.4451456
2.6855468750000e-002	      -0.1831075	       0.4556589
2.7343750000000e-002	      -0.1987976	       0.4811947
2.7832031250000e-002	      -0.2146197	       0.4929052
2.8320312500000e-002	      -0.2302431	       0.5050384
2.8808593750000e-002	      -0.2442489	       0.5185329
2.9296875000000e-002	      -0.2586255	       0.5361394
2.9785156250000e-002	      -0.2724426	       0.5496712
3.0273437500000e-002	      -0.2857068	       0.5642995
3.0761718750000e-002	      -0.2979311	       0.5684511
3.1250000000000e-002	      -0.3109594	       0.5928335
3.1738281250000e-002	      -0.3225283	       0.6076515
3.2226562500000e-002	      -0.3320649	       0.6207669
3.2714843750000e-002	      -0.3421256	       0.6287714
3.3203125000000e-002	      -0.3491896	       0.6355674
3.3691406250000e-002	      -0.3580677	       0.6549923
3.4179687500000e-002	      -0.3678938	       0.6419909
3.4667968750000e-002	        -0.37541	        0.664366
3.5156250000000e-002	      -0.3822298	       0.6565223
3.5644531250000e-002	      -0.3880224	       0.6809895
3.6132812500000e-002	      -0.3924632	       0.6990673
3.6621093750000e-002	      -0.3952331	       0.6950998
3.7109375000000e-002	      -0.3957904	       0.6889052
3.7597656250000e-002	      -0.3903973	       0.6769425
3.8085937500000e-002	      -0.3712063	       0.6782567
3.8574218750000e-002	      -0.3466783	       0.6591894
3.9062500000000e-002	      -0.3257807	       0.6564892
3.9550781250000e-002	      -0.3110277	       0.6584835
4.0039062500000e-002	      -0.3031584	       0.6610794
4.0527343750000e-002	      -0.2983747	       0.6322797
