Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s
0.0000000000000e+000	       0.2384459	       0.1697121
4.8828125000000e-004	       0.2388384	       0.1750867
9.7656250000000e-004	         0.23958	       0.1764413
1.4648437500000e-003	       0.2393517	       0.1793243
1.9531250000000e-003	       0.2391324	       0.1907568
2.4414062500000e-003	       0.2400084	       0.2004938
2.9296875000000e-003	       0.2413056	       0.1774351
3.4179687500000e-003	       0.2425362	       0.1752983
3.9062500000000e-003	       0.2439509	       0.1912598
4.3945312500000e-003	       0.2459002	       0.1810253
4.8828125000000e-003	       0.2467738	       0.1831143
5.3710937500000e-003	       0.2507207	       0.1911223
5.8593750000000e-003	       0.2547169	        0.196118
6.3476562500000e-003	       0.2573836	       0.1703227
6.8359375000000e-003	        0.260825	       0.1771136
7.3242187500000e-003	       0.2619098	       0.1996877
7.8125000000000e-003	       0.2590449	       0.1844595
8.3007812500000e-003	       0.2577485	       0.1925504
8.7890625000000e-003	       0.2562453	       0.2071785
9.2773437500000e-003	       0.2549049	        0.175832
9.7656250000000e-003	       0.2520912	        0.176799
1.0253906250000e-002	       0.2487626	       0.1898971
1.0742187500000e-002	       0.2449449	       0.1721253
1.1230468750000e-002	       0.2416573	       0.1707218
1.1718750000000e-002	       0.2379952	       0.1748251
1.2207031250000e-002	       0.2321854	        0.183506
1.2695312500000e-002	       0.2266007	       0.1840862
1.3183593750000e-002	       0.2204962	         0.17458
1.3671875000000e-002	       0.2149047	       0.1815236
1.4160156250000e-002	         0.20874	       0.1549772
1.4648437500000e-002	       0.2042534	       0.1843511
1.5136718750000e-002	       0.1987562	       0.1979294
1.5625000000000e-002	       0.1893318	        0.154342
1.6113281250000e-002	       0.1813232	       0.1578743
1.6601562500000e-002	       0.1718613	        0.149978
1.7089843750000e-002	        0.162896	       0.1525565
1.7578125000000e-002	        0.157044	       0.1747329
1.8066406250000e-002	       0.1501761	       0.1648817
1.8554687500000e-002	       0.1413358	       0.1590946
1.9042968750000e-002	       0.1324933	       0.1652516
1.9531250000000e-002	       0.1237881	       0.1475411
2.0019531250000e-002	       0.1152533	       0.1509533
2.0507812500000e-002	       0.1058741	       0.1649442
2.0996093750000e-002	      0.09645516	       0.1676073
2.1484375000000e-002	      0.08828022	        0.153541
2.1972656250000e-002	      0.07959867	       0.1436831
2.2460937500000e-002	      0.07082597	       0.1502663
2.2949218750000e-002	      0.06192182	       0.1509308
2.3437500000000e-002	      0.05353714	       0.1450315
2.3925781250000e-002	      0.04573946	       0.1572508
2.4414062500000e-002	      0.03635297	        0.143308
2.4902343750000e-002	      0.02555329	       0.1592358
2.5390625000000e-002	      0.01696048	       0.1445005
2.5878906250000e-002	     0.009192789	       0.1453421
2.6367187500000e-002	   -0.0003490739	       0.1446924
2.6855468750000e-002	    -0.006374107	       0.1492461
2.7343750000000e-002	     -0.01463516	        0.154686
2.7832031250000e-002	       -0.024577	       0.1395083
2.8320312500000e-002	     -0.03296705	       0.1594792
2.8808593750000e-002	      -0.0413076	       0.1126838
2.9296875000000e-002	     -0.04928351	        0.140977
2.9785156250000e-002	      -0.0580666	       0.1410621
3.0273437500000e-002	     -0.06617412	       0.1332334
3.0761718750000e-002	     -0.07441246	       0.1453124
3.1250000000000e-002	     -0.08233173	       0.1318216
3.1738281250000e-002	     -0.09020172	       0.1486549
3.2226562500000e-002	     -0.09727078	       0.1289096
3.2714843750000e-002	      -0.1052312	       0.1439587
3.3203125000000e-002	      -0.1127398	       0.1357326
3.3691406250000e-002	      -0.1197757	       0.1182733
3.4179687500000e-002	        -0.12686	       0.1320371
3.4667968750000e-002	      -0.1332715	       0.1120536
3.5156250000000e-002	      -0.1378744	       0.1231876
3.5644531250000e-002	      -0.1448087	       0.1484992
3.6132812500000e-002	      -0.1522256	        0.129551
3.6621093750000e-002	      -0.1594053	       0.1315658
3.7109375000000e-002	      -0.1660146	        0.157999
3.7597656250000e-002	      -0.1705316	       0.1130583
3.8085937500000e-002	      -0.1766619	       0.1179167
3.8574218750000e-002	      -0.1813394	       0.1216447
3.9062500000000e-002	      -0.1865408	        0.116347
3.9550781250000e-002	      -0.1921744	       0.1400236
4.0039062500000e-002	      -0.1972181	       0.1248796
4.0527343750000e-002	      -0.2016619	        0.109892
4.1015625000000e-002	      -0.2054084	       0.1109687
4.1503906250000e-002	      -0.2089759	       0.1062118
4.1992187500000e-002	      -0.2130792	       0.1028755
