Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       0.2170934	      0.02072382
4.8828125000000e-004	       0.2397751	     0.002225793
9.7656250000000e-004	       0.2616966	     -0.01669572
1.4648437500000e-003	       0.2832262	     -0.02601285
1.9531250000000e-003	       0.3032114	     -0.01282968
2.4414062500000e-003	       0.3249502	     -0.04744908
2.9296875000000e-003	       0.3428591	      -0.0498458
3.4179687500000e-003	       0.3608378	     -0.07493073
3.9062500000000e-003	       0.3772272	     -0.08676904
4.3945312500000e-003	       0.3918152	     -0.05754503
4.8828125000000e-003	       0.4098551	     -0.09134997
5.3710937500000e-003	       0.4250275	       -0.095608
5.8593750000000e-003	       0.4394427	      -0.0889635
6.3476562500000e-003	       0.4538088	      -0.1056046
6.8359375000000e-003	       0.4660565	      -0.1084411
7.3242187500000e-003	       0.4775934	      -0.1128347
7.8125000000000e-003	       0.4873419	      -0.1234068
8.3007812500000e-003	       0.4964551	      -0.1213802
8.7890625000000e-003	       0.5046259	      -0.1357265
9.2773437500000e-003	       0.5102849	      -0.1217349
9.7656250000000e-003	        0.515505	      -0.1346758
1.0253906250000e-002	       0.5190355	      -0.1354754
1.0742187500000e-002	       0.5202328	       -0.112178
1.1230468750000e-002	       0.5171615	      -0.1523266
1.1718750000000e-002	       0.5091919	      -0.1406988
1.2207031250000e-002	       0.4947569	      -0.1180196
1.2695312500000e-002	       0.4781819	      -0.1116399
1.3183593750000e-002	       0.4653146	      -0.1167976
1.3671875000000e-002	       0.4524229	      -0.1126596
1.4160156250000e-002	       0.4424847	      -0.0921852
1.4648437500000e-002	       0.4312364	     -0.09850781
1.5136718750000e-002	        0.416934	     -0.09051979
1.5625000000000e-002	       0.4058202	     -0.08110395
1.6113281250000e-002	       0.3934996	     -0.06126534
1.6601562500000e-002	       0.3816323	     -0.07515746
1.7089843750000e-002	       0.3698899	     -0.06251786
1.7578125000000e-002	        0.357737	     -0.05118935
1.8066406250000e-002	       0.3445185	     -0.05367859
1.8554687500000e-002	       0.3303387	     -0.02730007
1.9042968750000e-002	       0.3157432	     -0.02846484
1.9531250000000e-002	       0.3006182	      -0.0362189
2.0019531250000e-002	       0.2841428	     -0.02193889
2.0507812500000e-002	       0.2675952	    -0.002617181
2.0996093750000e-002	       0.2497442	      0.01040258
2.1484375000000e-002	       0.2308565	      0.02245186
2.1972656250000e-002	       0.2141289	      0.03051749
2.2460937500000e-002	        0.196847	      0.03657138
2.2949218750000e-002	       0.1749857	       0.0462139
2.3437500000000e-002	       0.1538312	      0.06596539
2.3925781250000e-002	       0.1314129	      0.09726547
2.4414062500000e-002	       0.1071807	      0.08921653
2.4902343750000e-002	      0.08675251	       0.1091695
2.5390625000000e-002	      0.06468342	       0.1152247
2.5878906250000e-002	      0.04135642	       0.1275392
2.6367187500000e-002	      0.01785562	       0.1603054
2.6855468750000e-002	     -0.00697926	       0.1573507
2.7343750000000e-002	      -0.0301003	        0.177685
2.7832031250000e-002	     -0.05360445	       0.1837335
2.8320312500000e-002	     -0.07711214	       0.1920079
2.8808593750000e-002	     -0.09979782	       0.2135779
2.9296875000000e-002	      -0.1229945	       0.2505425
2.9785156250000e-002	      -0.1454451	       0.2365022
3.0273437500000e-002	      -0.1687954	        0.253405
3.0761718750000e-002	      -0.1914905	       0.2814232
3.1250000000000e-002	      -0.2141217	       0.2778112
3.1738281250000e-002	      -0.2359069	       0.2938337
3.2226562500000e-002	      -0.2581527	        0.316543
3.2714843750000e-002	      -0.2795104	        0.310908
3.3203125000000e-002	      -0.2987689	       0.3308643
3.3691406250000e-002	      -0.3171484	       0.3323324
3.4179687500000e-002	      -0.3330129	       0.3455245
3.4667968750000e-002	      -0.3517374	        0.341756
3.5156250000000e-002	      -0.3702249	       0.3344776
3.5644531250000e-002	      -0.3856757	       0.3708973
3.6132812500000e-002	      -0.4002485	       0.3948289
3.6621093750000e-002	      -0.4145558	       0.3884773
3.7109375000000e-002	      -0.4275493	       0.3970425
3.7597656250000e-002	      -0.4403434	       0.4006272
3.8085937500000e-002	      -0.4517374	       0.3957976
3.8574218750000e-002	      -0.4618623	       0.3999604
3.9062500000000e-002	      -0.4712535	        0.410008
3.9550781250000e-002	      -0.4798114	       0.4262279
4.0039062500000e-002	      -0.4869689	        0.407627
4.0527343750000e-002	      -0.4920044	       0.4208601
4.1015625000000e-002	      -0.4963597	       0.4160732
