Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s
0.0000000000000e+000	      0.06981832
3.9062500000000e-003	       0.0668564
7.8125000000000e-003	       0.0704029
1.1718750000000e-002	      0.06815661
1.5625000000000e-002	      0.06285246
1.9531250000000e-002	      0.06329422
2.3437500000000e-002	      0.07395364
2.7343750000000e-002	      0.08609432
3.1250000000000e-002	       0.1112562
3.5156250000000e-002	       0.1685972
3.9062500000000e-002	       0.2381815
4.2968750000000e-002	       0.2374208
4.6875000000000e-002	       0.1913211
5.0781250000000e-002	       0.1429286
5.4687500000000e-002	       0.1171045
5.8593750000000e-002	      0.08322201
6.2500000000000e-002	      0.03364859
6.6406250000000e-002	     -0.02153585
7.0312500000000e-002	     -0.06820036
7.4218750000000e-002	       -0.035186
7.8125000000000e-002	     -0.01808706
8.2031250000000e-002	      0.02225748
8.5937500000000e-002	      0.09232858
8.9843750000000e-002	       0.1556437
9.3750000000000e-002	       0.2166016
9.7656250000000e-002	       0.3009267
1.0156250000000e-001	        0.318652
1.0546875000000e-001	       0.3401376
1.0937500000000e-001	       0.3396862
1.1328125000000e-001	       0.2612925
1.1718750000000e-001	       0.1929074
1.2109375000000e-001	       0.1162913
1.2500000000000e-001	     0.004626899
1.2890625000000e-001	     -0.04627412
1.3281250000000e-001	     -0.09153859
1.3671875000000e-001	      -0.1040903
1.4062500000000e-001	     -0.06741282
1.4453125000000e-001	    -0.001018808
1.4843750000000e-001	       0.1005591
1.5234375000000e-001	       0.2230087
1.5625000000000e-001	       0.3430041
1.6015625000000e-001	       0.4534065
1.6406250000000e-001	        0.546293
1.6796875000000e-001	       0.5855604
1.7187500000000e-001	       0.5546021
1.7578125000000e-001	       0.4468918
1.7968750000000e-001	        0.277856
1.8359375000000e-001	      0.04741151
1.8750000000000e-001	      -0.1873302
1.9140625000000e-001	      -0.4286496
1.9531250000000e-001	      -0.6066826
1.9921875000000e-001	      -0.7125608
2.0312500000000e-001	      -0.7303799
2.0703125000000e-001	      -0.6629136
2.1093750000000e-001	      -0.5196109
2.1484375000000e-001	      -0.3356169
2.1875000000000e-001	      -0.1329624
2.2265625000000e-001	      0.06627058
2.2656250000000e-001	       0.2906497
2.3046875000000e-001	       0.4740973
2.3437500000000e-001	       0.6252054
2.3828125000000e-001	       0.6979645
2.4218750000000e-001	       0.7241789
2.4609375000000e-001	       0.6976617
2.5000000000000e-001	       0.6249564
2.5390625000000e-001	       0.4968027
2.5781250000000e-001	       0.3581445
2.6171875000000e-001	       0.2259804
2.6562500000000e-001	      0.06836122
2.6953125000000e-001	     -0.09587283
2.7343750000000e-001	       -0.223901
2.7734375000000e-001	      -0.3341423
2.8125000000000e-001	      -0.3942136
2.8515625000000e-001	      -0.4064733
2.8906250000000e-001	      -0.3726908
2.9296875000000e-001	      -0.3197059
2.9687500000000e-001	      -0.2514971
3.0078125000000e-001	      -0.1382483
3.0468750000000e-001	     -0.03222878
3.0859375000000e-001	      0.09427364
3.1250000000000e-001	       0.2054721
3.1640625000000e-001	       0.3379879
3.2031250000000e-001	        0.440006
3.2421875000000e-001	       0.5135326
3.2812500000000e-001	        0.562789
3.3203125000000e-001	       0.5646242
3.3593750000000e-001	       0.5349253
3.3984375000000e-001	       0.4557222
3.4375000000000e-001	       0.3245229
3.4765625000000e-001	       0.1397012
3.5156250000000e-001	     -0.03472576
3.5546875000000e-001	       -0.209299
3.5937500000000e-001	      -0.3859439
3.6328125000000e-001	      -0.5060468
3.6718750000000e-001	      -0.5684951
3.7109375000000e-001	      -0.5485235
3.7500000000000e-001	      -0.4323668
3.7890625000000e-001	       -0.252909
3.8281250000000e-001	     -0.04378461
3.8671875000000e-001	       0.1942151
3.9062500000000e-001	       0.4510312
3.9453125000000e-001	       0.6520399
3.9843750000000e-001	       0.8086025
4.0234375000000e-001	       0.8511636
4.0625000000000e-001	       0.8072337
4.1015625000000e-001	       0.6335407
4.1406250000000e-001	       0.3809395
4.1796875000000e-001	      0.08976334
4.2187500000000e-001	      -0.2062761
4.2578125000000e-001	      -0.4647871
4.2968750000000e-001	      -0.6747985
4.3359375000000e-001	      -0.7840802
4.3750000000000e-001	       -0.780885
4.4140625000000e-001	        -0.64848
4.4531250000000e-001	      -0.3655727
4.4921875000000e-001	      0.02765961
4.5312500000000e-001	       0.4763494
4.5703125000000e-001	       0.8881678
4.6093750000000e-001	        1.189443
4.6484375000000e-001	        1.354304
4.6875000000000e-001	        1.349458
4.7265625000000e-001	        1.184448
4.7656250000000e-001	       0.8719396
4.8046875000000e-001	       0.4394207
4.8437500000000e-001	     -0.07290634
4.8828125000000e-001	      -0.6000597
4.9218750000000e-001	       -1.063171
4.9609375000000e-001	       -1.422806
5.0000000000000e-001	       -1.581821
5.0390625000000e-001	       -1.533192
5.0781250000000e-001	       -1.304307
5.1171875000000e-001	      -0.9010162
5.1562500000000e-001	      -0.3512677
5.1953125000000e-001	       0.3019524
5.2343750000000e-001	       0.9974478
5.2734375000000e-001	        1.632581
5.3125000000000e-001	        2.099911
5.3515625000000e-001	        2.350586
5.3906250000000e-001	        2.326107
5.4296875000000e-001	        2.025205
5.4687500000000e-001	        1.451122
5.5078125000000e-001	       0.6067678
5.5468750000000e-001	      -0.4019158
5.5859375000000e-001	       -1.427568
5.6250000000000e-001	       -2.314291
5.6640625000000e-001	       -2.908755
5.7031250000000e-001	       -3.186008
5.7421875000000e-001	       -3.126301
5.7812500000000e-001	        -2.70806
5.8203125000000e-001	       -1.969849
5.8593750000000e-001	      -0.9829498
