Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s
0.0000000000000e+000	       0.1714315
3.9062500000000e-003	       0.1765588
7.8125000000000e-003	       0.1713919
1.1718750000000e-002	       0.1705484
1.5625000000000e-002	       0.1657663
1.9531250000000e-002	       0.1597734
2.3437500000000e-002	       0.1586034
2.7343750000000e-002	       0.1601078
3.1250000000000e-002	       0.1687961
3.5156250000000e-002	       0.1656158
3.9062500000000e-002	       0.1617899
4.2968750000000e-002	       0.1665024
4.6875000000000e-002	        0.168084
5.0781250000000e-002	       0.1721544
5.4687500000000e-002	       0.1616376
5.8593750000000e-002	        0.173284
6.2500000000000e-002	       0.1717264
6.6406250000000e-002	       0.1748288
7.0312500000000e-002	       0.1814025
7.4218750000000e-002	       0.1713097
7.8125000000000e-002	       0.1681205
8.2031250000000e-002	       0.1651808
8.5937500000000e-002	       0.1624995
8.9843750000000e-002	       0.1706682
9.3750000000000e-002	       0.1651651
9.7656250000000e-002	       0.1700507
1.0156250000000e-001	       0.1778285
1.0546875000000e-001	       0.2065259
1.0937500000000e-001	        0.234498
1.1328125000000e-001	       0.2439993
1.1718750000000e-001	       0.2342193
1.2109375000000e-001	       0.2110257
1.2500000000000e-001	       0.2055095
1.2890625000000e-001	       0.2412099
1.3281250000000e-001	        0.368014
1.3671875000000e-001	       0.2832653
1.4062500000000e-001	        0.128191
1.4453125000000e-001	       0.1090113
1.4843750000000e-001	       0.1001458
1.5234375000000e-001	      0.07084276
1.5625000000000e-001	      0.06685482
1.6015625000000e-001	       0.1096003
1.6406250000000e-001	       0.1072197
1.6796875000000e-001	       0.1760055
1.7187500000000e-001	       0.2120971
1.7578125000000e-001	        0.252769
1.7968750000000e-001	        0.301554
1.8359375000000e-001	       0.3358991
1.8750000000000e-001	       0.3153504
1.9140625000000e-001	       0.3397786
1.9531250000000e-001	       0.2886957
1.9921875000000e-001	       0.2578598
2.0312500000000e-001	       0.2267709
2.0703125000000e-001	       0.1727062
2.1093750000000e-001	       0.1272075
2.1484375000000e-001	       0.1089482
2.1875000000000e-001	      0.06383839
2.2265625000000e-001	      0.06418974
2.2656250000000e-001	       0.1086012
2.3046875000000e-001	       0.1431598
2.3437500000000e-001	       0.1986931
2.3828125000000e-001	       0.2749626
2.4218750000000e-001	       0.3340623
2.4609375000000e-001	       0.3847408
2.5000000000000e-001	       0.4210837
2.5390625000000e-001	       0.4080928
2.5781250000000e-001	       0.3881696
2.6171875000000e-001	       0.2912404
2.6562500000000e-001	       0.1816111
2.6953125000000e-001	      0.07109471
2.7343750000000e-001	     -0.03122022
2.7734375000000e-001	      -0.1427807
2.8125000000000e-001	      -0.1898922
2.8515625000000e-001	      -0.2260702
2.8906250000000e-001	      -0.2221618
2.9296875000000e-001	      -0.1824858
2.9687500000000e-001	      -0.1008017
3.0078125000000e-001	       -0.019461
3.0468750000000e-001	      0.09362547
3.0859375000000e-001	       0.1935509
3.1250000000000e-001	       0.2860097
3.1640625000000e-001	       0.3806703
3.2031250000000e-001	       0.4422542
3.2421875000000e-001	       0.4609956
3.2812500000000e-001	        0.444695
3.3203125000000e-001	       0.3855384
3.3593750000000e-001	       0.3058914
3.3984375000000e-001	       0.2161371
3.4375000000000e-001	       0.1130926
3.4765625000000e-001	      0.02049398
3.5156250000000e-001	      -0.0364888
3.5546875000000e-001	     -0.06148762
3.5937500000000e-001	     -0.04142455
3.6328125000000e-001	      0.03732845
3.6718750000000e-001	       0.1301119
3.7109375000000e-001	       0.2302517
3.7500000000000e-001	       0.2943655
3.7890625000000e-001	       0.3258675
3.8281250000000e-001	       0.3193528
3.8671875000000e-001	       0.2469731
3.9062500000000e-001	       0.1519305
3.9453125000000e-001	      0.06410919
3.9843750000000e-001	     -0.01572474
4.0234375000000e-001	     -0.06208552
4.0625000000000e-001	     -0.08669609
4.1015625000000e-001	     -0.05645818
4.1406250000000e-001	      0.03366154
4.1796875000000e-001	       0.1355992
4.2187500000000e-001	       0.2337143
4.2578125000000e-001	       0.3110654
4.2968750000000e-001	       0.3244989
4.3359375000000e-001	       0.3048376
4.3750000000000e-001	       0.2630682
4.4140625000000e-001	       0.1987388
4.4531250000000e-001	       0.1115866
4.4921875000000e-001	      0.03648889
4.5312500000000e-001	     -0.02974453
4.5703125000000e-001	     -0.06247916
4.6093750000000e-001	     -0.04964853
4.6484375000000e-001	      0.01346008
4.6875000000000e-001	       0.1244148
4.7265625000000e-001	       0.2449824
4.7656250000000e-001	        0.370814
4.8046875000000e-001	       0.5108706
4.8437500000000e-001	       0.6311917
4.8828125000000e-001	       0.6709919
4.9218750000000e-001	        0.614862
4.9609375000000e-001	        0.462064
5.0000000000000e-001	       0.2574823
5.0390625000000e-001	      0.03309941
5.0781250000000e-001	       -0.167212
5.1171875000000e-001	      -0.3349118
5.1562500000000e-001	      -0.4373915
5.1953125000000e-001	      -0.4334516
5.2343750000000e-001	      -0.3218511
5.2734375000000e-001	      -0.1536705
5.3125000000000e-001	      0.05881736
5.3515625000000e-001	       0.2646909
5.3906250000000e-001	       0.4478428
5.4296875000000e-001	       0.5911105
5.4687500000000e-001	       0.6831249
5.5078125000000e-001	       0.7165263
5.5468750000000e-001	       0.6852431
5.5859375000000e-001	       0.5852146
5.6250000000000e-001	       0.4625365
5.6640625000000e-001	       0.2955847
5.7031250000000e-001	      0.09805734
5.7421875000000e-001	       -0.102598
5.7812500000000e-001	      -0.2988539
5.8203125000000e-001	      -0.4539011
5.8593750000000e-001	      -0.5664213
5.8984375000000e-001	      -0.5642353
