Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	     0.005568178	       0.1422259
4.8828125000000e-004	       0.0023005	       0.1417526
9.7656250000000e-004	    0.0003175376	        0.161047
1.4648437500000e-003	    -0.001186904	       0.1387931
1.9531250000000e-003	    -0.001708096	       0.1298111
2.4414062500000e-003	    -0.003870251	       0.1379178
2.9296875000000e-003	    -0.006389748	       0.1478993
3.4179687500000e-003	    -0.008219552	       0.1458094
3.9062500000000e-003	    -0.009265715	       0.1548356
4.3945312500000e-003	     -0.01089636	       0.1655513
4.8828125000000e-003	     -0.01292423	       0.1656125
5.3710937500000e-003	     -0.01435668	       0.1537883
5.8593750000000e-003	      -0.0156944	       0.1605267
6.3476562500000e-003	     -0.01754055	       0.1619977
6.8359375000000e-003	     -0.01970268	       0.1606835
7.3242187500000e-003	      -0.0218242	       0.1627108
7.8125000000000e-003	      -0.0238889	       0.1433073
8.3007812500000e-003	     -0.02584905	       0.1569896
8.7890625000000e-003	     -0.02737487	       0.1516191
9.2773437500000e-003	     -0.02892965	       0.1563719
9.7656250000000e-003	     -0.03133019	       0.1684032
1.0253906250000e-002	      -0.0334604	       0.1686221
1.0742187500000e-002	     -0.03419555	       0.1678301
1.1230468750000e-002	     -0.03613811	        0.159043
1.1718750000000e-002	     -0.03925476	       0.1845558
1.2207031250000e-002	     -0.04090805	       0.1688143
1.2695312500000e-002	     -0.04124886	       0.1653898
1.3183593750000e-002	     -0.04252413	       0.1785999
1.3671875000000e-002	     -0.04423052	       0.1447444
1.4160156250000e-002	     -0.04421018	       0.1663225
1.4648437500000e-002	     -0.04539053	       0.1523402
1.5136718750000e-002	     -0.04620089	       0.1558842
1.5625000000000e-002	     -0.04757055	       0.1822285
1.6113281250000e-002	      -0.0486486	       0.1560721
1.6601562500000e-002	     -0.04835001	       0.1569156
1.7089843750000e-002	     -0.04907832	       0.1560534
1.7578125000000e-002	     -0.04848481	       0.1584959
1.8066406250000e-002	     -0.04804019	        0.161174
1.8554687500000e-002	     -0.04661194	       0.1596195
1.9042968750000e-002	     -0.04504688	       0.1512057
1.9531250000000e-002	     -0.04339573	        0.170644
2.0019531250000e-002	      -0.0403481	       0.1697357
2.0507812500000e-002	     -0.03837253	       0.1525286
2.0996093750000e-002	     -0.03476232	       0.1594205
2.1484375000000e-002	     -0.02980722	       0.1414373
2.1972656250000e-002	     -0.02413045	        0.152395
2.2460937500000e-002	     -0.02014904	        0.159765
2.2949218750000e-002	     -0.01772977	       0.1583765
2.3437500000000e-002	     -0.01388566	       0.1822109
2.3925781250000e-002	    -0.009562134	       0.1709827
2.4414062500000e-002	    -0.005884357	       0.1662912
2.4902343750000e-002	    -0.002978908	          0.1726
2.5390625000000e-002	   -0.0003552987	       0.1698664
2.5878906250000e-002	     0.003696853	        0.166681
2.6367187500000e-002	     0.006397189	       0.1557977
2.6855468750000e-002	     0.008360859	       0.1723492
2.7343750000000e-002	     0.009873539	       0.1590043
2.7832031250000e-002	      0.01176659	       0.1445953
2.8320312500000e-002	      0.01395361	       0.1467937
2.8808593750000e-002	      0.01549355	       0.1738884
2.9296875000000e-002	       0.0163209	       0.1668953
2.9785156250000e-002	      0.01699911	       0.1727064
3.0273437500000e-002	      0.01892074	       0.1601735
3.0761718750000e-002	      0.02077642	       0.1680285
3.1250000000000e-002	      0.02201333	        0.147574
3.1738281250000e-002	      0.02132647	       0.1719522
3.2226562500000e-002	      0.02243513	       0.1567326
3.2714843750000e-002	      0.02395427	       0.1337064
3.3203125000000e-002	       0.0258153	       0.1394363
3.3691406250000e-002	      0.02859556	       0.1308724
3.4179687500000e-002	      0.02956175	       0.1477047
3.4667968750000e-002	      0.03093897	       0.1539463
3.5156250000000e-002	         0.03208	       0.1495228
3.5644531250000e-002	      0.03360006	        0.156687
3.6132812500000e-002	      0.03496136	       0.1445302
3.6621093750000e-002	      0.03730959	       0.1426253
3.7109375000000e-002	      0.03900585	       0.1430048
3.7597656250000e-002	      0.03924967	       0.1516813
3.8085937500000e-002	      0.04117475	       0.1381737
3.8574218750000e-002	      0.04211845	       0.1496938
3.9062500000000e-002	       0.0431701	       0.1381057
3.9550781250000e-002	      0.04448358	       0.1444365
4.0039062500000e-002	      0.04571457	       0.1582295
4.0527343750000e-002	      0.04544457	       0.1373077
4.1015625000000e-002	      0.04538252	       0.1480699
