Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       0.0374096	       0.1908479
4.8828125000000e-004	      0.02937658	       0.1840854
9.7656250000000e-004	      0.02176728	       0.1497663
1.4648437500000e-003	      0.01475785	       0.1726983
1.9531250000000e-003	     0.007002806	       0.1707575
2.4414062500000e-003	     0.002059446	       0.1404239
2.9296875000000e-003	     -0.00514918	       0.1652115
3.4179687500000e-003	     -0.01264125	       0.1618372
3.9062500000000e-003	     -0.02037658	       0.1584516
4.3945312500000e-003	     -0.02920775	       0.1502757
4.8828125000000e-003	     -0.03422701	       0.1430948
5.3710937500000e-003	     -0.03953623	       0.1388606
5.8593750000000e-003	     -0.04666797	       0.1224056
6.3476562500000e-003	     -0.05340031	       0.1303235
6.8359375000000e-003	     -0.05954263	       0.1358843
7.3242187500000e-003	     -0.06506279	       0.1429995
7.8125000000000e-003	     -0.07113562	       0.1287448
8.3007812500000e-003	     -0.07657853	       0.1393768
8.7890625000000e-003	     -0.08168068	       0.1512802
9.2773437500000e-003	     -0.08683779	       0.1174196
9.7656250000000e-003	     -0.09268528	       0.1332115
1.0253906250000e-002	     -0.09784127	         0.13862
1.0742187500000e-002	      -0.1028622	       0.1300096
1.1230468750000e-002	      -0.1071415	       0.1303333
1.1718750000000e-002	      -0.1109946	       0.1112962
1.2207031250000e-002	      -0.1160475	       0.1313951
1.2695312500000e-002	      -0.1230222	       0.1254073
1.3183593750000e-002	      -0.1257324	       0.1257547
1.3671875000000e-002	      -0.1280347	       0.1095644
1.4160156250000e-002	      -0.1291393	       0.1045378
1.4648437500000e-002	      -0.1306931	       0.1057353
1.5136718750000e-002	      -0.1350714	       0.1099187
1.5625000000000e-002	      -0.1368311	        0.110523
1.6113281250000e-002	      -0.1390039	       0.1231445
1.6601562500000e-002	      -0.1408643	        0.108477
1.7089843750000e-002	      -0.1426835	       0.1122331
1.7578125000000e-002	      -0.1450477	       0.1417623
1.8066406250000e-002	      -0.1465868	       0.1015986
1.8554687500000e-002	      -0.1468549	       0.1196213
1.9042968750000e-002	      -0.1477644	       0.1201731
1.9531250000000e-002	      -0.1478076	       0.1240343
2.0019531250000e-002	      -0.1484396	       0.1058702
2.0507812500000e-002	      -0.1485167	       0.1168042
2.0996093750000e-002	       -0.148911	       0.1199538
2.1484375000000e-002	      -0.1494112	       0.1192381
2.1972656250000e-002	      -0.1484202	       0.1288952
2.2460937500000e-002	      -0.1472168	       0.1152664
2.2949218750000e-002	      -0.1484006	       0.1232545
2.3437500000000e-002	      -0.1489399	       0.1272618
2.3925781250000e-002	      -0.1492212	       0.1189152
2.4414062500000e-002	      -0.1509234	       0.1302375
2.4902343750000e-002	      -0.1487178	        0.100843
2.5390625000000e-002	      -0.1481103	       0.1180149
2.5878906250000e-002	      -0.1505794	       0.1251223
2.6367187500000e-002	      -0.1526516	        0.135233
2.6855468750000e-002	      -0.1560894	       0.1129177
2.7343750000000e-002	      -0.1586427	       0.1045257
2.7832031250000e-002	      -0.1608792	       0.1146415
2.8320312500000e-002	      -0.1626871	       0.1153919
2.8808593750000e-002	      -0.1634931	        0.110653
2.9296875000000e-002	      -0.1629613	       0.1303056
2.9785156250000e-002	      -0.1619813	       0.1247843
3.0273437500000e-002	      -0.1609335	       0.1145891
3.0761718750000e-002	      -0.1589135	       0.1103524
3.1250000000000e-002	      -0.1566289	       0.1183758
3.1738281250000e-002	      -0.1538163	       0.1200833
3.2226562500000e-002	      -0.1529042	       0.1117033
3.2714843750000e-002	      -0.1499057	       0.1365892
3.3203125000000e-002	      -0.1445589	       0.1365951
3.3691406250000e-002	      -0.1395322	       0.1297143
3.4179687500000e-002	      -0.1305495	       0.1343101
3.4667968750000e-002	      -0.1224584	       0.1180564
3.5156250000000e-002	      -0.1193031	        0.124286
3.5644531250000e-002	      -0.1137622	       0.1157206
3.6132812500000e-002	       -0.107203	       0.1282651
3.6621093750000e-002	      -0.1010229	       0.1436317
3.7109375000000e-002	     -0.09368377	       0.1202634
3.7597656250000e-002	     -0.08599944	       0.1136133
3.8085937500000e-002	     -0.07839748	       0.1196978
3.8574218750000e-002	     -0.07088748	       0.1402293
3.9062500000000e-002	     -0.06452381	       0.1324046
3.9550781250000e-002	     -0.05768914	       0.1372505
4.0039062500000e-002	       -0.049498	       0.1389051
4.0527343750000e-002	       -0.043117	       0.1240543
