Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	      0.03808794	      0.02514425
4.8828125000000e-004	      0.03652841	      0.02533026
9.7656250000000e-004	      0.03310542	      0.00369805
1.4648437500000e-003	      0.03148878	      0.02561993
1.9531250000000e-003	      0.02899122	      0.03882509
2.4414062500000e-003	      0.02463971	      0.02145477
2.9296875000000e-003	      0.01903321	       0.0233071
3.4179687500000e-003	      0.01138467	      0.02491481
3.9062500000000e-003	     0.002071661	      0.03846599
4.3945312500000e-003	     -0.00933682	      0.03988886
4.8828125000000e-003	     -0.02017127	      0.02945238
5.3710937500000e-003	     -0.02769916	      0.04397058
5.8593750000000e-003	      -0.0342211	      0.05316305
6.3476562500000e-003	     -0.04047357	      0.03351476
6.8359375000000e-003	     -0.04437503	      0.02357299
7.3242187500000e-003	     -0.04794414	        0.043974
7.8125000000000e-003	     -0.05114745	      0.05333153
8.3007812500000e-003	     -0.05244603	      0.04486378
8.7890625000000e-003	     -0.05384675	      0.04683923
9.2773437500000e-003	     -0.05427155	      0.05070282
9.7656250000000e-003	     -0.05628399	      0.05806658
1.0253906250000e-002	     -0.05588216	      0.07266641
1.0742187500000e-002	     -0.05314882	      0.07248641
1.1230468750000e-002	     -0.05226125	      0.06879757
1.1718750000000e-002	     -0.05088581	      0.07882441
1.2207031250000e-002	     -0.05126963	      0.08981453
1.2695312500000e-002	     -0.04950887	      0.08551998
1.3183593750000e-002	     -0.04850825	      0.09481718
1.3671875000000e-002	     -0.04938502	       0.1184827
1.4160156250000e-002	     -0.04923012	       0.1072779
1.4648437500000e-002	     -0.04856673	      0.09796715
1.5136718750000e-002	     -0.04835003	      0.09912116
1.5625000000000e-002	     -0.04864974	       0.1040543
1.6113281250000e-002	     -0.05004431	       0.1072966
1.6601562500000e-002	     -0.05089121	        0.125849
1.7089843750000e-002	     -0.05059086	       0.1481308
1.7578125000000e-002	     -0.05024108	       0.1452331
1.8066406250000e-002	     -0.05249082	       0.1315359
1.8554687500000e-002	      -0.0540037	       0.1503497
1.9042968750000e-002	     -0.05316566	        0.130264
1.9531250000000e-002	     -0.05373619	       0.1470677
2.0019531250000e-002	     -0.05128774	       0.1575052
2.0507812500000e-002	     -0.05313317	         0.16796
2.0996093750000e-002	     -0.05483366	       0.1876361
2.1484375000000e-002	     -0.05495748	       0.1929179
2.1972656250000e-002	     -0.05578743	       0.1868834
2.2460937500000e-002	     -0.05550296	       0.1823778
2.2949218750000e-002	     -0.05603834	       0.2052883
2.3437500000000e-002	     -0.05700412	       0.2154864
2.3925781250000e-002	       -0.058048	       0.2185521
2.4414062500000e-002	     -0.05780095	         0.21883
2.4902343750000e-002	      -0.0580748	       0.2192836
2.5390625000000e-002	     -0.05817278	       0.2171497
2.5878906250000e-002	     -0.05775881	       0.2263243
2.6367187500000e-002	     -0.05750028	       0.2175317
2.6855468750000e-002	      -0.0565923	       0.2135307
2.7343750000000e-002	     -0.05608819	       0.2313816
2.7832031250000e-002	     -0.05655401	       0.2352381
2.8320312500000e-002	     -0.05637231	       0.2422576
2.8808593750000e-002	     -0.05556102	       0.2312146
2.9296875000000e-002	     -0.05524874	       0.2369151
2.9785156250000e-002	     -0.05671498	       0.2546308
3.0273437500000e-002	     -0.05648911	       0.2431852
3.0761718750000e-002	     -0.05498609	        0.268082
3.1250000000000e-002	     -0.05363778	       0.2615047
3.1738281250000e-002	     -0.05274709	       0.2495856
3.2226562500000e-002	     -0.05340529	        0.262349
3.2714843750000e-002	     -0.05323499	       0.2651728
3.3203125000000e-002	     -0.05217002	       0.2565411
3.3691406250000e-002	     -0.05070163	       0.2576717
3.4179687500000e-002	     -0.04906187	       0.2671626
3.4667968750000e-002	     -0.04698552	       0.2716634
3.5156250000000e-002	     -0.04487429	       0.2874408
3.5644531250000e-002	     -0.04262452	       0.2769434
3.6132812500000e-002	     -0.03950958	       0.2624351
3.6621093750000e-002	     -0.03533379	       0.2899402
3.7109375000000e-002	     -0.03015082	       0.2947709
3.7597656250000e-002	     -0.02295849	       0.2782567
3.8085937500000e-002	     -0.01295609	        0.279614
3.8574218750000e-002	    -0.001122825	       0.2741944
3.9062500000000e-002	      0.01094785	       0.2690365
3.9550781250000e-002	      0.02281158	       0.2587917
4.0039062500000e-002	      0.03313811	       0.2502121
4.0527343750000e-002	      0.03954584	       0.2615881
4.1015625000000e-002	      0.04593357	        0.268183
