Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.1717661
3.9062500000000e-003	        0.166367
7.8125000000000e-003	       0.1755757
1.1718750000000e-002	       0.1824123
1.5625000000000e-002	       0.1989044
1.9531250000000e-002	       0.2320361
2.3437500000000e-002	        0.262093
2.7343750000000e-002	        0.291534
3.1250000000000e-002	       0.3209211
3.5156250000000e-002	       0.3524023
3.9062500000000e-002	       0.3290558
4.2968750000000e-002	       0.2724407
4.6875000000000e-002	       0.2104223
5.0781250000000e-002	       0.1618643
5.4687500000000e-002	       0.1147451
5.8593750000000e-002	       0.1097819
6.2500000000000e-002	       0.1134482
6.6406250000000e-002	       0.1165462
7.0312500000000e-002	       0.1560033
7.4218750000000e-002	       0.2032409
7.8125000000000e-002	       0.2535466
8.2031250000000e-002	       0.3091558
8.5937500000000e-002	       0.3571376
8.9843750000000e-002	       0.4087419
9.3750000000000e-002	       0.4630256
9.7656250000000e-002	       0.4814961
1.0156250000000e-001	       0.4989053
1.0546875000000e-001	       0.4940823
1.0937500000000e-001	       0.4668578
1.1328125000000e-001	       0.4207072
1.1718750000000e-001	       0.3686048
1.2109375000000e-001	       0.2849163
1.2500000000000e-001	       0.2032373
1.2890625000000e-001	       0.1296231
1.3281250000000e-001	       0.0709478
1.3671875000000e-001	      0.04959847
1.4062500000000e-001	      0.03885971
1.4453125000000e-001	      0.04589193
1.4843750000000e-001	       0.0639625
1.5234375000000e-001	      0.06169939
1.5625000000000e-001	      0.05215454
1.6015625000000e-001	      0.00529671
1.6406250000000e-001	     -0.05003331
1.6796875000000e-001	      -0.1273912
1.7187500000000e-001	      -0.2008248
1.7578125000000e-001	      -0.2375173
1.7968750000000e-001	      -0.2227584
1.8359375000000e-001	      -0.1751689
1.8750000000000e-001	     -0.07274376
1.9140625000000e-001	      0.03523448
1.9531250000000e-001	       0.1790861
1.9921875000000e-001	       0.3329847
2.0312500000000e-001	       0.4856669
2.0703125000000e-001	       0.6456873
2.1093750000000e-001	       0.7484266
2.1484375000000e-001	       0.8174802
2.1875000000000e-001	       0.8032694
2.2265625000000e-001	       0.7162414
2.2656250000000e-001	       0.5493349
2.3046875000000e-001	       0.3338689
2.3437500000000e-001	       0.1151491
2.3828125000000e-001	     -0.08542472
2.4218750000000e-001	      -0.2451045
2.4609375000000e-001	      -0.3753886
2.5000000000000e-001	      -0.4522338
2.5390625000000e-001	      -0.4838178
2.5781250000000e-001	      -0.4699157
2.6171875000000e-001	      -0.3924192
2.6562500000000e-001	      -0.2770118
2.6953125000000e-001	      -0.1356665
2.7343750000000e-001	      0.04186216
2.7734375000000e-001	       0.2364947
2.8125000000000e-001	       0.4191265
2.8515625000000e-001	       0.5958574
2.8906250000000e-001	       0.7113771
2.9296875000000e-001	       0.7607595
2.9687500000000e-001	       0.7215109
3.0078125000000e-001	       0.5816933
3.0468750000000e-001	       0.3877256
3.0859375000000e-001	       0.1210399
3.1250000000000e-001	      -0.1477406
3.1640625000000e-001	      -0.4010765
3.2031250000000e-001	      -0.5884986
3.2421875000000e-001	      -0.6700011
3.2812500000000e-001	      -0.6273743
3.3203125000000e-001	      -0.4415655
3.3593750000000e-001	       -0.155643
3.3984375000000e-001	       0.2005921
3.4375000000000e-001	       0.5647944
3.4765625000000e-001	       0.9273406
3.5156250000000e-001	        1.209505
3.5546875000000e-001	        1.424699
3.5937500000000e-001	        1.511916
3.6328125000000e-001	        1.424382
3.6718750000000e-001	         1.13931
3.7109375000000e-001	       0.6737996
3.7500000000000e-001	      0.07411871
3.7890625000000e-001	      -0.5950576
3.8281250000000e-001	       -1.205261
3.8671875000000e-001	       -1.654726
3.9062500000000e-001	       -1.866745
3.9453125000000e-001	       -1.791429
3.9843750000000e-001	       -1.420134
4.0234375000000e-001	      -0.8057192
4.0625000000000e-001	     -0.02209711
4.1015625000000e-001	       0.7814311
4.1406250000000e-001	        1.484434
4.1796875000000e-001	        1.998427
4.2187500000000e-001	        2.284546
4.2578125000000e-001	        2.332957
4.2968750000000e-001	        2.106334
4.3359375000000e-001	        1.595124
4.3750000000000e-001	       0.8715056
4.4140625000000e-001	      0.07778753
4.4531250000000e-001	       -0.668366
4.4921875000000e-001	       -1.239058
4.5312500000000e-001	       -1.618944
4.5703125000000e-001	       -1.796104
4.6093750000000e-001	       -1.765221
4.6484375000000e-001	       -1.533193
4.6875000000000e-001	       -1.105935
4.7265625000000e-001	      -0.5179707
4.7656250000000e-001	       0.1759226
4.8046875000000e-001	       0.8688709
4.8437500000000e-001	        1.489286
4.8828125000000e-001	        1.918331
4.9218750000000e-001	        2.102523
4.9609375000000e-001	        2.043308
5.0000000000000e-001	        1.749219
5.0390625000000e-001	        1.267581
5.0781250000000e-001	       0.6941882
5.1171875000000e-001	      0.07456701
5.1562500000000e-001	      -0.5383273
5.1953125000000e-001	       -1.037204
5.2343750000000e-001	       -1.361921
5.2734375000000e-001	       -1.433479
5.3125000000000e-001	       -1.225085
5.3515625000000e-001	      -0.8035292
5.3906250000000e-001	      -0.3058293
5.4296875000000e-001	       0.2086919
5.4687500000000e-001	       0.6203072
5.5078125000000e-001	       0.9210361
5.5468750000000e-001	        1.086993
5.5859375000000e-001	        1.092549
5.6250000000000e-001	       0.9254813
5.6640625000000e-001	       0.6186048
5.7031250000000e-001	       0.1794641
5.7421875000000e-001	      -0.3333482
5.7812500000000e-001	      -0.8723814
5.8203125000000e-001	       -1.344735
5.8593750000000e-001	       -1.649352
5.8984375000000e-001	       -1.765268
